id;first_name;last_name;class_id
1;Krzysztof;Nowak;3
2;Bartosz;Kamiński;1
3;Aleksandra;Kaczmarek;1
4;Amelia;Walczak;1
5;Irena;Wieczorek;3
6;Andrzej;Kowalczyk;1
7;Stanisław;Piotrowski;2
8;Julia;Jankowski;3
9;Grzegorz;Malinowski;2
10;Józef;Kowalski;2
11;Katarzyna;Wróbel;3
12;Andrzej;Wojciechowski;3
13;Maria;Nowicki;1
14;Paweł;Zieliński;3
15;Laura;Grabowski;1
16;Monika;Wójcik;2
17;Mikołaj;Zając;1
18;Barbara;Grabowski;2
19;Andrzej;Nowak;2
20;Marcin;Adamczyk;2
21;Elżbieta;Nowakowski;1
22;Wojciech;Kwiatkowski;1
23;Jolanta;Zając;1
24;Julia;Michalski;2
25;Teresa;Król;3
26;Michał;Zieliński;2
27;Kacper;Piotrowski;3
28;Stanisław;Kowalczyk;2
29;Stanisław;Król;2
30;Maria;Grabowski;2
